studio,polish title,release year,duration (mi),director,screenplay,genre,country,universe,boxoffice (USD),budget (USD),original title,distribution
"['New Line Cinema', 'Avery Pix', 'Bedford Falls Productions']",Sam,2001,132,['Jessie Nelson'],"['Jessie Nelson', 'Kristine Johnson']",['Drama'],['USA'],,97818139,22000000,I Am Sam,
"['Cristaldifilm', 'France 3 Cinéma', 'Les Films Ariane']",Imię róży,1986,130,['Jean-Jacques Annaud'],"['Jean-Jacques Annaud', 'Howard Franklin']",['Crime'],"['France', 'Italy', 'Germany']",,77153487,17000000,Der Name der Rose,
"['Coach Carter', 'MMDP Munich Movie Development & Production GmbH & Co. Project KG', 'MTV Films']",Trener,2005,136,['Thomas Carter'],"['John Gatins', 'Mark Schwahn']","['Biography', 'Drama', 'Sporty']","['USA', 'Germany']",,76669806,30000000,Coach Carter,
"['Agencja Produkcji Filmowej', 'Canal+ Polska', 'ITI Cinema']",Dług,1999,97,['Krzysztof Krauze'],"['Krzysztof Krauze', 'Jerzy Morawski']","['Drama', 'Psychological']",['Poland'],,,,Dług,ITI CINEMA
"['Backup Media', 'Big Farm', 'Cartoon Saloon']",Sekrety morza,2014,93,['Tomm Moore'],['Will Collins'],"['Animation', 'Family', 'Fantasy']","['Denmark', 'Ireland', 'Belgium', 'Luxembourg', 'France']",,4190884,,Song of the Sea,Vue Movie Distribution
"['Tig Productions', 'Allied Filmmakers', 'Majestic Films International']",Tańczący z wilkami,1990,181,['Kevin Costner'],['Michael Blake'],['Western'],"['USA', 'Great Britain']",,424208848,22000000,Dances with Wolves,
"['Amuse', 'CoMix Wave Films', 'East Japan Marketing & Communications Inc.']",Kimi no Na wa.,2016,106,['Makoto Shinkai'],['Makoto Shinkai'],"['Fantasy', 'Drama', 'Anime']",['Japan'],,358180115,,,
"['Dirty Hands Productions', 'Intermedia Films', 'Mikona Productions GmbH & Co. KG']",Życie za życie,2003,130,['Alan Parker'],['Charles Randolph'],['Drama'],"['USA', 'Germany', 'Great Britain', 'Spain']",,38955598,38000000,The Life of David Gale,Monolith
"['Paramount Pictures', 'Lucasfilm']",Indiana Jones i ostatnia krucjata,1989,127,['Steven Spielberg'],['Jeffrey Boam'],['Adventure'],['USA'],,474171806,48000000,Indiana Jones and the Last Crusade,
"['Finanzia San Marco', 'Paramount Pictures', 'Rafran Cinematografica']",Pewnego razu na Dzikim Zachodzie,1968,165,['Sergio Leone'],"['Sergio Leone', 'Sergio Donati']",['Western'],"['USA', 'Italy']",,5435024,5000000,C'era una volta il West,
"['Columbia Pictures', 'Metro-Goldwyn-Mayer', 'Film Rites']",Dziewczyna z tatuażem,2011,158,['David Fincher'],['Steven Zaillian'],"['Crime', 'Thriller']","['USA', 'Sweden', 'Norway']",,232617430,90000000,The Girl with the Dragon Tattoo,United International Pictures Sp z o.o.
"['Alcon Entertainment', 'Left Tackle Pictures', 'Zucker/Netter Productions']",Wielki Mike. The Blind Side,2009,128,['John Lee Hancock'],['John Lee Hancock'],"['Biography', 'Drama', 'Sporty']",['USA'],,309231694,29000000,The Blind Side,Warner Bros. Entertainment Polska Sp. z o. o.
"['Ladd Company, The', 'Shaw Brothers', 'Warner Bros.']",Łowca androidów,1982,117,['Ridley Scott'],"['Hampton Fancher', 'David Webb Peoples']","['Thriller', 'Sci-fi']","['USA', 'Hong Kong', 'Great Britain']",,41722424,28000000,Blade Runner,
"['Adam Fields Productions', 'Flower Films', 'Gaylord Films']",Donnie Darko,2001,113,['Richard Kelly'],['Richard Kelly'],['Drama'],['USA'],,7012321,6000000,Donnie Darko,
"['Michael De Luca Productions', 'Scott Rudin Productions', 'Translux']",Kapitan Phillips,2013,134,['Paul Greengrass'],['Billy Ray'],"['Biography', 'Drama']",['USA'],,218791811,55000000,Captain Phillips,United International Pictures Sp z o.o.
"['Aurum Film', 'Canal +', 'Centre National de la Cinématographie']",Boże Ciało,2019,115,['Jan Komasa'],['Mateusz Pacewicz'],['Drama'],['Poland'],,9943901,1300000,Boże Ciało,Kino Świat
"['Bandai Visual Company', 'Kodansha', 'Production I.G.']",Ghost in the Shell,1995,82,['Mamoru Oshii'],['Kazunori Itô'],"['Action', 'Sci-fi', 'Anime']",['Japan'],,,,Kōkaku Kidōtai,
"['Beijing ShengShi HuaRei Film Investment & Management Co.', 'China Film Co-Production Corporation', 'Mandarin Films Distribution Co.']",Ip Man,2008,106,['Wilson Yip'],"['Edmond Wong', 'Chan Tai-Li']","['Biography', 'Martial arts']","['Hong Kong', 'China']",,22108789,,Yip Man,
"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Dune Entertainment']",Czarny łabędź,2010,108,['Darren Aronofsky'],"['Mark Heyman', 'John J. McLaughlin']","['Drama', 'Psychological']",['USA'],,329398046,13000000,Black Swan,Imperial - Cinepix
"['Warner Bros.', '1492 Pictures', 'Heyday Films']",Harry Potter i więzień Azkabanu,2004,141,['Alfonso Cuarón'],['Steve Kloves'],"['Family', 'Fantasy', 'Adventure']","['USA', 'Great Britain']",['Harry Potter'],797660766,130000000,Harry Potter and the Prisoner of Azkaban,Warner Home Video
"['Walt Disney Feature Animation', 'Walt Disney Pictures']",Mulan,1998,88,"['Barry Cook', 'Tony Bancroft']","['Rita Hsiao', 'Chris Sanders']","['Animation', 'Fantasy', 'Adventure']",['USA'],['Animacje Disneya'],304320254,70000000,Mulan,Syrena EG
"['Paramount Pictures', 'Patron Inc.']",Okno na podwórze,1954,112,['Alfred Hitchcock'],['John Michael Hayes'],"['Psychological', 'Thriller']",['USA'],,37034579,1000000,Rear Window,
"['Long Road Productions', 'Paramount Pictures', 'Penthouse']",Chinatown,1974,135,['Roman Polański'],"['Roman Polański', 'Robert Towne']","['Crime', 'Film-Noir']",['USA'],,29225935,6000000,Chinatown,
['Geffen Pictures'],Wywiad z wampirem,1994,123,['Neil Jordan'],['Anne Rice'],"['Drama', 'Horror']",['USA'],,223664608,60000000,Interview with the Vampire: The Vampire Chronicles,
"['DreamWorks Animation', 'Mad Hatter Entertainment']",Jak wytresować smoka 2,2014,105,['Dean DeBlois'],['Dean DeBlois'],"['Animation', 'Family', 'Fantasy', 'Adventure']",['USA'],,621537519,145000000,How to Train Your Dragon 2,Imperial - Cinepix
['Melodrama Pictures'],Mary i Max,2009,92,['Adam Elliot'],['Adam Elliot'],"['Animation', 'Drama', 'Comedy']",['Australia'],,1740429,,Mary and Max,Monolith Films
"['Metro-Goldwyn-Mayer', 'Stanley Kubrick Productions']",2001: Odyseja kosmiczna,1968,141,['Stanley Kubrick'],"['Arthur C. Clarke', 'Stanley Kubrick']",['Sci-fi'],"['USA', 'Great Britain']",,65889846,12000000,2001: A Space Odyssey,Stowarzyszenie Nowe Horyzonty
"['Amblin Entertainment', 'Warner Bros.']",Imperium Słońca,1987,154,['Steven Spielberg'],"['Menno Meyjes', 'Tom Stoppard']","['Drama', 'War']",['USA'],,22238696,38000000,Empire of the Sun,Stowarzyszenie Nowe Horyzonty
['Studio Filmowe Tor'],Przypadek,1981,122,['Krzysztof Kieślowski'],['Krzysztof Kieślowski'],"['Drama', 'Psychological', 'Political']",['Poland'],,,,Przypadek,
"['Columbia Pictures Corporation', 'Hawk Films']","Dr Strangelove, czyli jak przestałem się martwić i pokochałem bombę",1964,93,['Stanley Kubrick'],"['Peter George', 'Stanley Kubrick']",['Satire'],"['Great Britain', 'USA']",,9523464,1800000,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Warner Home Video
['Svensk Filmindustri'],Persona,1966,85,['Ingmar Bergman'],['Ingmar Bergman'],"['Drama', 'Psychological']",['Sweden'],,,,Persona,Gutek Film
"['Malpaso Productions', 'Warner Bros.']",Doskonały świat,1993,138,['Clint Eastwood'],['John Lee Hancock'],['Drama'],['USA'],,135130999,,A Perfect World,
['Studio Filmowe Kadr'],Vabank,1981,104,['Juliusz Machulski'],['Juliusz Machulski'],"['Crime', 'Comedy']",['Poland'],,,,Vabank,
"['Lionsgate', 'Mandeville Films', 'Participant Media']",Cudowny chłopak,2017,113,['Stephen Chbosky'],"['Steve Conrad', 'Jack Thorne']","['Drama', 'Comedy', 'Drama']","['USA', 'Hong Kong']",,315025930,20000000,Wonder,Monolith Films
['Metro-Goldwyn-Mayer'],Deszczowa piosenka,1952,103,"['Stanley Donen', 'Gene Kelly']","['Betty Comden', 'Adolph Green']","['Comedy', 'Musical', 'Romance']",['USA'],,1985921,2540800,Singin' in the Rain,Stowarzyszenie Nowe Horyzonty
"['Exclusive Media Group', '5150 Action', 'Crave Films']",Bogowie ulicy,2012,109,['David Ayer'],['David Ayer'],"['Crime', 'Thriller']",['USA'],,55078146,7000000,End of Watch,Monolith Films
"['Studio Filmowe Zebra', 'Agencja Produkcji Filmowej']",Psy,1992,104,['Władysław Pasikowski'],['Władysław Pasikowski'],['Sensational'],['Poland'],,,,Psy,
"['Walt Disney Animation Studios', 'Walt Disney Pictures']",Wielka Szóstka,2014,102,"['Don Hall', 'Chris Williams']","['Jordan Roberts', 'Robert L. Baird']","['Animation', 'Comedy', 'Action', 'Sci-fi']",['USA'],['Animacje Disneya'],657869686,165000000,Big Hero 6,Disney
"['Universal Pictures', 'Angel Studios', 'Bourne Again']",Ultimatum Bourne'a,2007,115,['Paul Greengrass'],"['Tom Stoppard', 'Tony Gilroy']",['Sensational'],"['USA', 'Germany']",,444100035,110000000,The Bourne Ultimatum,United International Pictures Sp z o.o.
"['EuropaCorp', 'All Pictures Media', 'Canal+']",Uprowadzona,2008,93,['Pierre Morel'],"['Luc Besson', 'Robert Mark Kamen']",['Sensational'],['France'],,226837760,25000000,Taken,Monolith Films
"['Dayday Films', 'FilmNation Entertainment', 'Fox Searchlight Pictures']",Obdarowani,2017,101,['Marc Webb'],['Tom Flynn'],['Drama'],['USA'],,43069254,7000000,Gifted,Imperial - Cinepix
"['Art Pictures Group', 'Art Pictures Studio', 'Channel 1+1']",9 kompania,2005,139,['Fedor Bondarchuk'],['Yuriy Korotkov'],"['Drama', 'War']","['Ukraine', 'Russia', 'Finland']",,26146165,,9 rota,Monolith Films
"['Bedford Falls Company, The', 'Cruise/Wagner Productions', 'Radar Pictures']",Ostatni samuraj,2003,154,['Edward Zwick'],"['Edward Zwick', 'John Logan']",['Drama'],"['USA', 'New Zealand', 'Japan']",,454627263,140000000,The Last Samurai,Warner Bros.
"['PolyGram Filmed Entertainment', 'Spelling Films International', 'Bad Hat Harry Productions']",Podejrzani,1995,106,['Bryan Singer'],['Christopher McQuarrie'],"['Crime', 'Thriller']","['Germany', 'USA']",,51441568,6000000,The Usual Suspects,Syrena EG
"['Warner Bros.', 'Malpaso Productions', 'NPV Entertainment']",Rzeka tajemnic,2003,137,['Clint Eastwood'],['Brian Helgeland'],['Thriller'],"['USA', 'Australia']",,156595191,25000000,Mystic River,Warner Bros.
['Paramount Pictures'],Rzymskie wakacje,1953,118,['William Wyler'],"['Dalton Trumbo', 'Ian McLellan Hunter']","['Comedy', 'Romance']",['USA'],,12000000,1500000,Roman Holiday,
"['Chartoff-Winkler Productions', 'United Artists']",Wściekły Byk,1980,129,['Martin Scorsese'],"['Paul Schrader', 'Mardik Martin']","['Biography', 'Drama']",['USA'],,23402427,18000000,Raging Bull,
"['DreamWorks SKG', 'Jinks/Cohen Company']",American Beauty,1999,122,['Sam Mendes'],['Alan Ball'],"['Drama', 'Comedy']",['USA'],,356296601,15000000,American Beauty,United International Pictures Sp z o.o.
"['IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG', 'Intermedia Films', 'Lawrence Gordon Productions']",K-PAX,2001,120,['Iain Softley'],['Charles Leavitt'],['Drama'],"['USA', 'Germany']",,65001485,68000000,K-PAX,
['Paramount Pictures'],Nietykalni,1987,119,['Brian De Palma'],['David Mamet'],['Crime'],['USA'],,186270454,25000000,The Untouchables,
"['Universal Pictures', 'City Light Films']",Joe Black,1998,181,['Martin Brest'],"['Ron Osborn', 'Jeff Reno']","['Fantasy', 'Drama']",['USA'],,142940100,90000000,Meet Joe Black,
['O3 Turkey Medya'],Cud w celi nr 7,2019,132,['Mehmet Ada Öztekin'],['Kubilay Tat'],['Drama'],['Turkey'],,17163660,,7. Koğuştaki Mucize,
"['Bristol Bay Productions', 'Universal Pictures', 'Anvil Films']",Ray,2004,152,['Taylor Hackford'],['James L. White'],"['Biography', 'Drama', 'Musical']",['USA'],,123971376,40000000,Ray,United International Pictures Sp z o.o.
"['Film Polski', 'Zespół Filmowy ""X""']",Ziemia obiecana,1974,179,['Andrzej Wajda'],['Andrzej Wajda'],['Drama'],['Poland'],,,,Ziemia obiecana,Vision Film Distribution
"['Metro-Goldwyn-Mayer', 'Universal Pictures', 'Dino De Laurentiis Company']",Hannibal,2001,131,['Ridley Scott'],"['David Mamet', 'Steven Zaillian']",['Thriller'],"['USA', 'Great Britain']",,351692268,87000000,Hannibal,Monolith Films
"['Metro-Goldwyn-Mayer', 'New Line Cinema', 'WingNut Films']",Hobbit: Niezwykła podróż,2012,169,['Peter Jackson'],"['Guillermo del Toro', 'Peter Jackson']","['Fantasy', 'Adventure']","['USA', 'New Zealand']",['Władca Pierścieni'],1017030651,180000000,The Hobbit: An Unexpected Journey,Forum Film Poland
['Studio Filmowe Iluzjon'],Nie ma mocnych,1974,90,['Sylwester Chęciński'],['Andrzej Mularczyk'],['Comedy'],['Poland'],,,,Nie ma mocnych,
"['Lotus Productions', 'Mediaset', 'Medusa Film']",Dobrze się kłamie w miłym towarzystwie,2016,97,['Paolo Genovese'],"['Paolo Genovese', 'Filippo Bologna']","['Drama', 'Comedy']",['Italy'],,32207491,,Perfetti sconosciuti,Aurora Films
"['Universal Pictures', 'Midfield Films', 'StudioCanal']",Senna,2010,106,['Asif Kapadia'],['Manish Pandey'],"['Biography', 'Documentary', 'Sporty']","['Great Britain', 'France', 'USA']",,10197661,,Senna,
"['Film i Väst', 'Liberator Productions', 'Trust Film Svenska']",Tańcząc w ciemnościach,2000,139,['Lars von Trier'],['Lars von Trier'],"['Drama', 'Musical']","['Denmark', 'Sweden', 'USA', 'Germany', 'the Netherlands', 'Great Britain', 'France', 'Finland', 'Iceland', 'Norway', 'Italy', 'Spain', 'Argentina']",,40061153,12800000,Dancer in the Dark,Gutek Film
"['Marvel Enterprises', 'Paramount Pictures', 'Dark Blades Films']",Iron Man,2008,126,['Jon Favreau'],"['Hawk Ostby', 'Mark Fergus']","['Action', 'Sci-fi']",['USA'],['Marvel'],585796247,140000000,Iron Man,United International Pictures Sp z o.o.
"['Double Feature Films', 'FilmColony', 'Weinstein Company, The']",Nienawistna ósemka,2015,168,['Quentin Tarantino'],['Quentin Tarantino'],['Western'],['USA'],,156480177,44000000,The Hateful Eight,Forum Film Poland
"['B & C Filmproduktion GmbH', 'Cascadeur Filmproduktion GmbH', 'KC Medien']",Jeniec: Tak daleko jak nogi poniosą,2001,158,['Hardy Martins'],"['Hardy Martins', 'Bastian Clevé']","['Drama', 'War']",['Germany'],,,,So weit die Füße tragen,
"['Nibariki', 'Studio Ghibli', 'Tokuma Japan Communications Co. Ltd.']",Mój sąsiad Totoro,1988,85,['Hayao Miyazaki'],['Hayao Miyazaki'],"['Family', 'Anime']",['Japan'],['Studio Ghibli'],30574632,,Tonari no Totoro,
"['Focus Features', 'Universal Pictures', 'Scion Films']",Duma i uprzedzenie,2005,127,['Joe Wright'],['Deborah Moggach'],"['Costume', 'Drama']","['Great Britain', 'France', 'USA']",,121616555,28000000,Pride & Prejudice,United International Pictures Sp z o.o.
"['Zespół Filmowy ""Kadr""']",Pociąg,1959,93,['Jerzy Kawalerowicz'],"['Jerzy Kawalerowicz', 'Jerzy Lutowski']","['Drama', 'Psychological']",['Poland'],,,,Pociąg,
"['Czech Anglo Productions', 'Defender Films', 'Fox Searchlight Pictures']",Jojo Rabbit,2019,108,['Taika Waititi'],['Taika Waititi'],"['Drama', 'Comedy', 'War']","['Germany', 'USA', 'The czech republic', 'New Zealand']",,90335025,14000000,Jojo Rabbit,Imperial - Cinepix
"['Agencja Filmowa Telewizji Polskiej', 'Monternia', 'Polski Instytut Sztuki Filmowej']",Chce się żyć,2013,107,['Maciej Pieprzyca'],['Maciej Pieprzyca'],['Drama'],['Poland'],,1438531,,Chce się żyć,Kino Świat
"['Legendary Pictures', 'Warner Bros.']",Diuna,2021,155,['Denis Villeneuve'],"['Eric Roth', 'Denis Villeneuve']",['Sci-fi'],"['USA', 'Great Britain', 'Hungary', 'Canada']",['Kroniki Diuny'],401847900,165000000,Dune,Warner Bros. Entertainment Polska Sp. z o. o.
"['Amblin Entertainment', 'Columbia Pictures Corporation', 'DreamWorks SKG']",Wyznania gejszy,2005,145,['Rob Marshall'],"['Robin Swicord', 'Doug Wright']",['Drama'],['USA'],,162242962,85000000,Memoirs of a Geisha,Forum Film Poland
"['Canal+', 'Ciné+', 'Mars Films']",Jutro będziemy szczęśliwi,2016,118,['Hugo Gélin'],"['Hugo Gélin', 'Mathieu Oullion']","['Drama', 'Comedy']","['France', 'Great Britain']",,49619118,,Demain tout commence,Monolith Films
"['Twentieth Century Fox Film Corporation', 'Blue Sky Studios', 'Twentieth Century Fox Animation']",Epoka lodowcowa,2002,81,['Chris Wedge'],"['Michael Berg', 'Michael J. Wilson']","['Animation', 'Comedy', 'Adventure']",['USA'],,383257136,59000000,Ice Age,Syrena EG
"['Canal+', 'Channel Four Films', 'JVC Entertainment Networks']",Noc na Ziemi,1991,129,['Jim Jarmusch'],['Jim Jarmusch'],"['Drama', 'Comedy']","['France', 'Germany', 'USA', 'Great Britain', 'Japan']",,2113387,,Night on Earth,
"['Escape Artists', 'Fuqua Films', 'Riche Productions']",Do utraty sił,2015,123,['Antoine Fuqua'],['Kurt Sutter'],"['Drama', 'Sporty']",['USA'],,91970827,30000000,Southpaw,Forum Film Poland
['CIP Filmproduktion GmbH'],Hair,1979,121,['Miloš Forman'],['Michael Weller'],['Musical'],"['USA', 'Germany']",,15313606,11000000,Hair,Vivarto
['Magidson Films'],Baraka,1992,96,['Ron Fricke'],['Constantine Nicholas'],['Documentary'],['USA'],,1332110,2000000,Baraka,Best Film
['Lucasfilm'],Gwiezdne wojny: Część III - Zemsta Sithów,2005,140,['George Lucas'],['George Lucas'],"['Adventure', 'Sci-fi']",['USA'],['Gwiezdne wojny'],868390560,113000000,Star Wars: Episode III - Revenge of the Sith,Imperial - Cinepix
['William Castle Productions'],Dziecko Rosemary,1968,136,['Roman Polański'],['Roman Polański'],"['Horror', 'Psychological']",['USA'],,33395426,2300000,Rosemary's Baby,
['Charles Chaplin Productions'],Dyktator,1940,124,['Charlie Chaplin'],['Charlie Chaplin'],"['Drama', 'Comedy']",['USA'],,,,The Great Dictator,Vivarto
"['Miramax Films', 'Paramount Vantage', 'Ghoulardi Film Company']",Aż poleje się krew,2007,158,['Paul Thomas Anderson'],['Paul Thomas Anderson'],['Drama'],['USA'],,76182388,25000000,There Will Be Blood,Forum Film Poland
"['Warner Bros.', 'Silver Pictures', 'Earth Media Studios']",Matrix,1999,136,"['Lilly Wachowski', 'Lana Wachowski']","['Lilly Wachowski', 'Lana Wachowski']","['Action', 'Sci-fi']","['USA', 'Australia']",,467222728,63000000,The Matrix,Warner Bros.
"['Canal+', 'Carolco Pictures', 'Lightstorm Entertainment']",Terminator 2: Dzień sądu,1991,137,['James Cameron'],"['James Cameron', 'William Wisher']","['Action', 'Sci-fi']","['France', 'USA']",['Terminator'],520881154,102000000,Terminator 2: Judgment Day,
"['Allied Artists Pictures', 'Corona-General', 'Solar Productions']",Motylek,1973,150,['Franklin J. Schaffner'],"['Dalton Trumbo', 'Lorenzo Semple Jr.']","['Biography', 'Drama', 'Adventure']","['USA', 'France']",,53267000,12000000,Papillon,
"['Warner Bros.', 'Lin Pictures', 'Silver Pictures']",Sherlock Holmes: Gra cieni,2011,129,['Guy Ritchie'],"['Michele Mulroney', 'Kieran Mulroney']","['Crime', 'Adventure']",['USA'],,543848418,125000000,Sherlock Holmes: A Game of Shadows,Warner Bros. Entertainment Polska Sp. z o. o.
"['Bayerischer Rundfunk', 'Canal+', 'CiBy 2000']","Czarny kot, biały kot",1998,120,['Emir Kusturica'],"['Emir Kusturica', 'Gordan Mihić']","['Comedy', 'Romance', 'Musical']","['France', 'Germany', 'Austria', 'Greece', 'USA', 'Yugoslavia']",,,,"Crna mačka, beli mačor",Solopan
"['Allegro', 'Platige Image']",Twardowsky 2.0,2016,21,['Tomasz Bagiński'],['Błażej Dzikowski'],"['Sci-fi', 'Short']",['Poland'],,,,Twardowsky 2.0,
"['ARD Degeto Film', 'Bac Films', 'Backup Films']",Kwiat pustyni,2009,120,['Sherry Hormann'],['Sherry Hormann'],"['Biography', 'Drama']","['Great Britain', 'Germany', 'Austria']",,14682943,,Desert Flower,Kino Świat
"['Walt Disney Animation Studios', 'Walt Disney Pictures']",Zaplątani,2010,96,"['Nathan Greno', 'Byron Howard']",['Dan Fogelman'],"['Animation', 'Family', 'Musical', 'Comedy']",['USA'],['Animacje Disneya'],592462816,260000000,Tangled,Forum Film Poland
"['Fox 2000 Pictures', 'State Street Pictures']",Siła i honor,2000,128,['George Tillman Jr.'],['Scott Marshall Smith'],"['Biography', 'Drama']",['USA'],,82343495,32000000,Men of Honor,Syrena EG
"['Altavista Films', 'Zeta Film']",Amores perros,2000,153,['Alejandro González Iñárritu'],['Guillermo Arriaga'],"['Drama', 'Thriller']",['Mexico'],,20908467,2000000,,Vision Film Distribution
"['Warner Bros.', 'Storyline Entertainment', 'Two Ton Films']",Choć goni nas czas,2007,97,['Rob Reiner'],['Justin Zackham'],"['Drama', 'Comedy']",['USA'],,175372502,45000000,The Bucket List,Warner Bros.
"['Maison Européenne de la Photographie', 'Région Ile-de-France', 'Solares Fondazione delle arti']",Sól ziemi,2014,110,"['Juliano Ribeiro Salgado', 'Wim Wenders']","['David Rosier', 'Juliano Ribeiro Salgado']",['Documentary'],"['France', 'Italy', 'Brazil']",,5412466,,Le sel de la terre,Against Gravity
"['Metro-Goldwyn-Mayer', 'New Line Cinema', 'WingNut Films']",Hobbit: Pustkowie Smauga,2013,161,['Peter Jackson'],"['Guillermo del Toro', 'Peter Jackson']","['Fantasy', 'Adventure']","['USA', 'New Zealand']",['Władca Pierścieni'],959027992,,The Hobbit: The Desolation of Smaug,Forum Film Poland
"['Universal Pictures', 'Hypnotic', 'Kalima Productions GmbH & Co. KG']",Tożsamość Bourne'a,2002,119,['Doug Liman'],"['Tony Gilroy', 'W. Blake Herron']",['Sensational'],"['USA', 'Germany', 'The czech republic']",,214034224,60000000,The Bourne Identity,United International Pictures Sp z o.o.
"['ABC Pictures', 'Allied Artists Pictures', 'Bavaria Film']",Kabaret,1972,124,['Bob Fosse'],"['Joe Masteroff', 'Jay Presson Allen']","['Drama', 'Musical']",['USA'],,42765000,6000000,Cabaret,Syrena EG
['Brooksfilms'],Człowiek słoń,1980,125,['David Lynch'],"['Stuart Craig', 'David Lynch']","['Biography', 'Drama']","['USA', 'Great Britain']",,26023860,5000000,The Elephant Man,
"['Entertainment Manufacturing Company', 'Ascendant Pictures', 'Copag V']",Pan życia i śmierci,2005,122,['Andrew Niccol'],['Andrew Niccol'],['Drama'],"['USA', 'France', 'Germany']",,72617068,50000000,Lord of War,Monolith
['Platige Image'],Sztuka spadania,2004,6,['Tomasz Bagiński'],['Tomasz Bagiński'],"['Animation', 'Fantasy', 'Short', 'Film grotesque']",['Poland'],,,,Sztuka spadania,
"['TriStar Pictures', 'Bedford Falls Productions', 'Pangaea']",Wichry namiętności,1994,133,['Edward Zwick'],"['William D. Wittliff', 'Susan Shilliday']",['Drama'],['USA'],,160638883,30000000,Legends of the Fall,Columbia TriStar Home Entertainment
"['Warner Bros.', 'Heyday Films', 'Patalex IV Productions Limited']",Harry Potter i Czara Ognia,2005,157,['Mike Newell'],['Steve Kloves'],"['Family', 'Fantasy', 'Adventure']","['USA', 'Great Britain']",['Harry Potter'],896815106,150000000,Harry Potter and the Goblet of Fire,Warner Bros.
"['New Line Cinema', 'Castle Rock Entertainment', 'M7 Filmproduktion']",Słaby punkt,2007,112,['Gregory Hoblit'],"['Glenn Gers', 'Daniel Pyne']","['Thriller', 'Drama']","['USA', 'Germany']",,92011561,,Fracture,Warner Bros.
"['Brandywine Productions', 'SLM Production Group', 'Twentieth Century Fox Film Corporation']",Obcy - decydujące starcie,1986,137,['James Cameron'],['James Cameron'],"['Horror', 'Sci-fi']","['USA', 'Great Britain']","['Obcy', 'Predator']",131060248,18500000,Aliens,
"['Paramount Pictures', 'Mace Neufeld Productions', 'Nina Saxon Film Design']",Polowanie na Czerwony Październik,1990,134,['John McTiernan'],"['David Shaber', 'Larry Ferguson']",['Sensational'],['USA'],,200512643,30000000,The Hunt for Red October,
"['August Film & TV GmbH', 'Danmarks Radio', 'M&M Productions']",Jabłka Adama,2005,94,['Anders Thomas Jensen'],['Anders Thomas Jensen'],"['Drama', 'Comedy']","['Denmark', 'Germany']",,2421577,,Adams æbler,Kino Świat
['Walt Disney Animation Studios'],Paperman,2012,7,['John Kahrs'],,"['Animation', 'Comedy', 'Short']",['USA'],,,,Paperman,
"['ApolloProScreen Filmproduktion', 'Blackfriars Bridge Films', 'Bob Yari Productions']",Miasto gniewu,2004,113,['Paul Haggis'],"['Paul Haggis', 'Bobby Moresco']",['Drama'],"['USA', 'Germany']",,98410061,6500000,Crash,Monolith Plus
"['Indigo Film', 'Babe Film', 'Banca Popolare di Vicenza']",Wielkie piękno,2013,142,['Paolo Sorrentino'],"['Umberto Contarello', 'Paolo Sorrentino']","['Drama', 'Comedy']","['Italy', 'France']",,24930592,,La grande bellezza,Film Point Group
"['Mercury Productions', 'RKO Radio Pictures']",Obywatel Kane,1941,119,['Orson Welles'],"['Orson Welles', 'Herman J. Mankiewicz']",['Drama'],['USA'],,1645133,686033,Citizen Kane,Vivarto
['Studio Filmowe Zodiak'],Znachor,1981,128,['Jerzy Hoffman'],"['Jerzy Hoffman', 'Jacek Fuksiewicz']",['Drama'],['Poland'],,,,Znachor,
"['Relativity Media', 'Boy of the Year', 'Intermédia']",Jestem Bogiem,2011,105,['Neil Burger'],['Leslie Dixon'],"['Thriller', 'Sci-fi']",['USA'],,161849455,27000000,Limitless,Monolith Films
"['Canada Film Capital', 'Donners Company', 'Marvel Entertainment']",Logan: Wolverine,2017,137,['James Mangold'],"['Michael Green', 'Scott Frank']","['Drama', 'Action', 'Sci-fi']","['USA', 'Canada', 'Australia']",['Marvel'],619179950,97000000,Logan,Imperial - Cinepix
"['Frenesy Film Company', 'La Cinéfacture', 'Lombardia Film Commission']","Tamte dni, tamte noce",2017,132,['Luca Guadagnino'],"['James Ivory', 'Luca Guadagnino']",['Drama'],"['Italy', 'France', 'Brazil', 'USA']",,43143046,3500000,Call Me by Your Name,United International Pictures Sp z o.o.
"['Genre Films', 'International Traders', 'Mid Atlantic Films']",Marsjanin,2015,141,['Ridley Scott'],['Drew Goddard'],['Sci-fi'],"['USA', 'Great Britain', 'Hungary', 'Jordan']",,630620818,108000000,The Martian,Imperial - Cinepix
,Cyrk motyli,2009,20,['Joshua Weigel'],"['Joshua Weigel', 'Rebekah Weigel']","['Drama', 'Short']",['USA'],,,,,
"['Mike Zoss Productions', 'Miramax Films', 'Paramount Vantage']",To nie jest kraj dla starych ludzi,2007,122,"['Joel Coen', 'Ethan Coen']","['Ethan Coen', 'Joel Coen']","['Drama', 'Thriller']",['USA'],,171627166,25000000,No Country for Old Men,United International Pictures Sp z o.o.
"['Imagine Entertainment', 'Miramax Films', 'Universal Pictures']",Człowiek ringu,2005,144,['Ron Howard'],"['Akiva Goldsman', 'Cliff Hollingsworth']","['Biography', 'Drama']",['USA'],,108539911,88000000,Cinderella Man,Forum Film Poland
